Chinese Content,Replaced Content,SD Content,SD Prompt,Translated Content
在遥远的一个国度里，国王和王后站在宏伟的宫殿阳台上，双手合十，仰望天空，神情虔诚。,在遥远的一个国度里，国王(character features: 一位中年男子，面容威严，身穿华丽的金色王袍，头戴镶嵌宝石的皇冠，腰间悬挂精致的宝剑，行走时步伐沉稳。)和王后（原配）(character features: 一位约三十岁的女子，皮肤白皙，身材修长，留着黑色长发，穿着优雅的丝绸长裙，裙摆绣有繁复的花纹，头戴珍珠发饰，眼神温柔且充满母爱。)站在宏伟的宫殿阳台上，双手合十，仰望天空，神情虔诚。,"(a middle-aged king with a stern demeanor, lavish golden robe, jeweled crown, exquisite sword at waist, steady gait) BREAK ((a queen in her thirties with fair skin, slender figure, long black hair cascading gracefully, elegant silk gown with intricate patterns, pearl hairpiece, gentle gaze radiating warmth and motherly love) standing on a grand balcony of the palace, hands clasped together, gazing up at the sky with reverent expressions (best quality,4k,8k,highres,masterpiece:1.2), ultra-detailed, (realistic,photorealistic,photo-realistic:1.37), vibrant colors, soft lighting, majestic atmosphere",,"In a distant kingdom, the king, a middle-aged man with a stern demeanor, dressed in a lavish golden robe and adorned with a crown set with jewels, carried an exquisite sword at his waist and walked with a steady gait. Beside him stood the queen, his primary consort, a woman in her thirties with fair skin and a slender figure. Her long black hair cascaded gracefully as she wore an elegant silk gown embroidered with intricate patterns. A pearl hairpiece adorned her head, and her gentle gaze radiated warmth and motherly love. Together, they stood on the grand balcony of the palace, hands clasped together, gazing up at the sky with reverent expressions."
国王和王后跪在华丽的礼拜堂内，向上苍祈祷，他们的脸上写满了渴望。,国王(character features: 一位中年男子，面容威严，身穿华丽的金色王袍，头戴镶嵌宝石的皇冠，腰间悬挂精致的宝剑，行走时步伐沉稳。)和王后（原配）(character features: 一位约三十岁的女子，皮肤白皙，身材修长，留着黑色长发，穿着优雅的丝绸长裙，裙摆绣有繁复的花纹，头戴珍珠发饰，眼神温柔且充满母爱。)跪在华丽的礼拜堂内，向上苍祈祷，他们的脸上写满了渴望。,"a middle-aged king with a stern expression wearing a magnificent golden robe and a jeweled crown holding a finely crafted sword at his waist walking steadily BREAK a queen in her thirties with fair skin and a tall figure wearing a silk gown with intricately embroidered floral patterns and a pearl ornament in her long black hair kneeling beside him in a splendid chapel filled with ornate details and soft candlelight praying to the heavens with faces full of longing (best quality,4k,8k,highres,masterpiece:1.2), ultra-detailed, (realistic,photorealistic,photo-realistic:1.37), warm lighting, rich colors, serene atmosphere",,"The king, a middle-aged man with a stern expression, donned a magnificent golden robe and a crown adorned with jewels. A finely crafted sword hung at his waist, and he walked with a steady gait. Beside him, the queen, his original consort, was a woman in her thirties with fair skin and a tall figure. Her long black hair flowed elegantly as she wore a silk gown, the hem of which was intricately embroidered with floral patterns. A pearl ornament adorned her head, and her gentle gaze was filled with maternal love. Together, they knelt in the splendid chapel, praying to the heavens with faces full of longing."
一片星空下，国王和王后站在花园中，闭目祈祷，周围点缀着摇曳的烛光。,一片星空下，国王(character features: 一位中年男子，面容威严，身穿华丽的金色王袍，头戴镶嵌宝石的皇冠，腰间悬挂精致的宝剑，行走时步伐沉稳。)和王后（原配）(character features: 一位约三十岁的女子，皮肤白皙，身材修长，留着黑色长发，穿着优雅的丝绸长裙，裙摆绣有繁复的花纹，头戴珍珠发饰，眼神温柔且充满母爱。)站在花园中，闭目祈祷，周围点缀着摇曳的烛光。,"under a starlit sky, a middle-aged king with a commanding presence, beautiful detailed eyes, wearing a magnificent golden robe and a jeweled crown, moving with steady steps, BREAK a queen in her thirties with fair skin and a tall figure, long black hair, beautiful detailed eyes, wearing an elegant silk gown intricately embroidered with elaborate patterns, adorned with a pearl accessory, exuding a gentle gaze filled with maternal love, standing together in a garden with eyes closed in prayer, surrounded by flickering candlelight (best quality,4k,8k,highres,masterpiece:1.2), ultra-detailed, realistic, vivid colors, sharp focus",,"Under a starlit sky, the king, a middle-aged man with a commanding presence, dressed in a magnificent golden robe and wearing a crown adorned with jewels, moved with steady steps, while the queen, his first wife, a woman in her thirties with fair skin and a tall figure, had long black hair and wore an elegant silk gown intricately embroidered with elaborate patterns. She also adorned her hair with a pearl accessory and exuded a gentle gaze filled with maternal love. They stood together in the garden, eyes closed in prayer, surrounded by the flickering glow of dancing candlelight."
王后躺在产床上，身旁是一个刚出生的婴儿，婴儿皮肤白皙如雪，双颊红润似苹果，乌黑柔顺的头发轻轻散在襁褓上。,王后（原配）(character features: 一位约三十岁的女子，皮肤白皙，身材修长，留着黑色长发，穿着优雅的丝绸长裙，裙摆绣有繁复的花纹，头戴珍珠发饰，眼神温柔且充满母爱。)躺在产床上，身旁是一个刚出生的婴儿，婴儿皮肤白皙如雪，双颊红润似苹果，乌黑柔顺的头发轻轻散在襁褓上。,"a queen on a birthing bed, beautiful detailed eyes, beautiful detailed lips, fair glowing skin, tall elegant figure in a silk gown with intricate floral patterns, pearl hairpiece in long black hair, gentle maternal love radiating, a newborn baby with snow-white skin and rosy cheeks like ripe apples, lush black hair spread across the swaddling blanket, (best quality,4k,8k,highres,masterpiece:1.2), ultra-detailed, photorealistic, soft warm lighting, vivid colors, serene atmosphere",,"The queen, a woman of about thirty, lay on the birthing bed. Her fair skin glowed, and her tall figure was elegantly draped in a silk gown, the hem adorned with intricate floral patterns. A pearl hairpiece decorated her long black hair, while her gentle eyes radiated warmth and maternal love. Beside her lay a newborn baby, whose skin was as white as snow, and rosy cheeks resembled ripe apples. Lush, black hair softly spread across the swaddling blanket."
国王和王后站在婴儿床旁，脸上洋溢着幸福的笑容，他们低头注视着熟睡中的小公主，周围装饰着华丽的宫殿陈设。,国王(character features: 一位中年男子，面容威严，身穿华丽的金色王袍，头戴镶嵌宝石的皇冠，腰间悬挂精致的宝剑，行走时步伐沉稳。)和王后（原配）(character features: 一位约三十岁的女子，皮肤白皙，身材修长，留着黑色长发，穿着优雅的丝绸长裙，裙摆绣有繁复的花纹，头戴珍珠发饰，眼神温柔且充满母爱。)站在婴儿床旁，脸上洋溢着幸福的笑容，他们低头注视着熟睡中的白雪公主（儿童）(character features: 一位五六岁的小女孩，皮肤如雪般洁白，双颊红润如苹果，头发乌黑柔顺地垂在肩上，身穿淡粉色的棉质连衣裙，脚上是一双白色小皮鞋，眼神天真无邪。)，周围装饰着华丽的宫殿陈设。,"a king, middle-aged man with a dignified face, magnificent golden royal robe, jeweled crown, finely crafted sword at waist, standing beside a crib, BREAK a queen, woman in her thirties, fair skin, tall figure, long black hair, elegant silk gown, intricately embroidered hem, pearl hairpiece, gentle gaze radiating warmth, standing beside the king, looking down with joyful smiles, BREAK a young girl about five or six years old, skin as pure as snow, rosy cheeks resembling apples, silky black hair cascading over shoulders, light pink cotton dress, white little shoes, opulent palace decorations, atmosphere of grandeur and happiness, (best quality,4k,8k,highres,masterpiece:1.2), ultra-detailed, (realistic,photorealistic,photo-realistic:1.37), vivid colors, soft lighting",,"The king, a middle-aged man with a dignified face, adorned in a magnificent golden royal robe and wearing a jeweled crown, stood beside the crib with a steady gait. His regal presence was complemented by a finely crafted sword hanging at his waist. Beside him stood the queen, his first wife, a woman in her thirties with fair skin and a tall figure. Her long black hair framed her face as she wore an elegant silk gown, intricately embroidered at the hem, and a pearl hairpiece. Her gentle gaze radiated warmth and maternal love.

Together, they looked down with joyful smiles at the sleeping Snow White, a young girl about five or six years old. Her skin was as pure as snow, and her rosy cheeks resembled apples. Her silky black hair cascaded gracefully over her shoulders, and she was dressed in a light pink cotton dress, with white little shoes on her feet. The opulent decorations of the palace surrounded them, creating an atmosphere of grandeur and happiness."
城堡外，举国欢庆的景象，街道上挂满了彩旗，人们手捧鲜花，脸上带着喜悦的表情，似乎正在为白雪公主的诞生送上祝福。,城堡外，举国欢庆的景象，街道上挂满了彩旗，人们手捧鲜花，脸上带着喜悦的表情，似乎正在为白雪公主（儿童）(character features: 一位五六岁的小女孩，皮肤如雪般洁白，双颊红润如苹果，头发乌黑柔顺地垂在肩上，身穿淡粉色的棉质连衣裙，脚上是一双白色小皮鞋，眼神天真无邪。)的诞生送上祝福。,"A joyful celebration outside a castle, vibrant colorful flags fluttering, people holding flowers, expressions of happiness, blessings for the birth of Snow White, (a little girl about five years old, skin as white as snow, rosy cheeks like apples, smooth black hair cascading over shoulders, dressed in a light pink cotton dress, white leather shoes, innocent sparkling eyes), (best quality,4k,8k,highres,masterpiece:1.2), ultra-detailed, (realistic,photorealistic:1.37), bright colors, warm sunlight, cheerful atmosphere, festive decorations, in background",,"Outside the castle, a scene of national celebration unfolded. The streets were adorned with colorful flags, as people held flowers and wore joyful expressions, seemingly offering their blessings for the birth of Snow White, a little girl about five or six years old. She had skin as white as snow, rosy cheeks like apples, and her smooth, black hair cascaded over her shoulders. Dressed in a light pink cotton dress and wearing white leather shoes, her innocent eyes sparkled with purity."
白雪公主站在城堡的花园中，周围是各种可爱的小动物，小鹿、小兔子、松鼠和小鸟环绕着她，她手里拿着食物正在喂它们。,白雪公主（成年）(character features: 一位十五六岁的少女，皮肤依旧如雪般洁白，双颊红润，黑色长发披散至腰间，身穿浅蓝色的丝质长裙，裙子上有精致的蕾丝装饰，脚穿银色高跟鞋，神态温柔而端庄。)站在城堡的花园中，周围是各种可爱的小动物，小鹿、小兔子、松鼠和小鸟环绕着她，她手里拿着食物正在喂它们。,"Snow White (adult) stands in the castle garden, her skin as white as snow, rosy cheeks, long black hair cascading down to her waist, wearing a light blue silk gown adorned with delicate lace and silver high heels, exuding a gentle and dignified demeanor, surrounded by charming little animals like fawns, rabbits, squirrels, and birds gathering around as she holds food in her hands to feed them (best quality,4k,8k,highres,masterpiece:1.2), ultra-detailed, (realistic,photorealistic,photo-realistic:1.37), vibrant colors, soft lighting, enchanting atmosphere, lush greenery, magical feeling",,"Snow White (adult) stands in the castle garden, her appearance reminiscent of a girl around fifteen or sixteen. Her skin remains as white as snow, her cheeks rosy, and her long black hair cascades down to her waist. She wears a light blue silk gown adorned with delicate lace, and on her feet are silver high heels, exuding a gentle and dignified demeanor. Surrounding her are various charming little animals; fawns, rabbits, squirrels, and birds gather around as she holds food in her hands to feed them."
白雪公主坐在草地上，微笑着看着周围的动物们，一些小动物似乎正聚精会神地听她讲故事，阳光洒在她和动物们的身上。,白雪公主（成年）(character features: 一位十五六岁的少女，皮肤依旧如雪般洁白，双颊红润，黑色长发披散至腰间，身穿浅蓝色的丝质长裙，裙子上有精致的蕾丝装饰，脚穿银色高跟鞋，神态温柔而端庄。)坐在草地上，微笑着看着周围的动物们，一些小动物似乎正聚精会神地听她讲故事，阳光洒在她和动物们的身上。,"(Snow White, beautiful detailed eyes, beautiful detailed lips, extremely detailed eyes and face, long black hair flowing to waist, light blue silk gown with exquisite lace decorations, silver high heels, gentle dignified demeanor, sitting on grass, smiling, surrounded by animals) BREAK (various little creatures, intently listening, engaged in storytelling) BREAK (sunlight bathing scene in warm glow) (best quality,4k,8k,highres,masterpiece:1.2), ultra-detailed, (realistic,photorealistic,photo-realistic:1.37), soft lighting, vivid colors, enchanting atmosphere, lush greenery",,"Snow White (adult) is depicted as a girl around fifteen or sixteen years old, with skin as pure as snow and rosy cheeks. Her long black hair flows down to her waist, and she wears a light blue silk gown adorned with exquisite lace decorations. On her feet, she sports silver high heels, exuding a gentle and dignified demeanor. She sits on the grass, smiling as she looks at the surrounding animals; some little creatures appear to be intently listening to her as she tells a story, while sunlight bathes her and the animals in its warm glow."
白雪公主在花园里快乐地奔跑，身后跟着一群小动物，她的笑容灿烂，显得非常幸福。,白雪公主（成年）(character features: 一位十五六岁的少女，皮肤依旧如雪般洁白，双颊红润，黑色长发披散至腰间，身穿浅蓝色的丝质长裙，裙子上有精致的蕾丝装饰，脚穿银色高跟鞋，神态温柔而端庄。)在花园里快乐地奔跑，身后跟着一群小动物，她的笑容灿烂，显得非常幸福。,"Snow White (adult) featuring a girl around fifteen or sixteen years old, with skin as white as snow, rosy cheeks, long black hair cascading down to her waist, wearing a light blue silk gown adorned with exquisite lace decorations, silver high heels, a gentle and dignified demeanor, running joyfully through a garden, surrounded by a group of small animals, her radiant smile reflecting immense happiness, (best quality,4k,8k,highres,masterpiece:1.2), ultra-detailed, (realistic,photorealistic:1.37), vibrant colors, soft lighting, enchanting atmosphere",,"Snow White (adult) features a girl around fifteen or sixteen years old, with skin as white as snow, rosy cheeks, and long black hair cascading down to her waist. She wears a light blue silk gown adorned with exquisite lace decorations, and her feet are adorned with silver high heels. With a gentle and dignified demeanor, she runs joyfully through the garden, followed by a group of small animals. Her radiant smile reflects her immense happiness."
白雪公主站在已故母亲的画像前，神情悲伤，周围是昏暗的房间，墙上挂着已故王后的肖像，显得格外凄凉。,白雪公主（成年）(character features: 一位十五六岁的少女，皮肤依旧如雪般洁白，双颊红润，黑色长发披散至腰间，身穿浅蓝色的丝质长裙，裙子上有精致的蕾丝装饰，脚穿银色高跟鞋，神态温柔而端庄。)站在已故母亲的画像前，神情悲伤，周围是昏暗的房间，墙上挂着王后（原配）(character features: 一位约三十岁的女子，皮肤白皙，身材修长，留着黑色长发，穿着优雅的丝绸长裙，裙摆绣有繁复的花纹，头戴珍珠发饰，眼神温柔且充满母爱。)的肖像，显得格外凄凉。,"Snow White (adult) standing in a dimly lit room, sorrowful expression, looking at the portrait of her late mother, (the queen) woman in her thirties, fair skin, tall graceful figure, black cascading hair, elegant silk gown with floral embroidery, pearl headdress, gentle motherly gaze, somber atmosphere, (Snow White) sixteen years old, light blue silk gown with delicate lace, pure skin as white as snow, soft blush on cheeks, silver high heels, beautiful detailed eyes, beautiful detailed lips, (best quality,4k,8k,highres,masterpiece:1.2), ultra-detailed, (realistic,photorealistic:1.37), dramatic lighting, soft shadows, rich color tones, emotionally evocative scene.",,"Snow White (adult) stood before the portrait of her late mother, her expression sorrowful in the dimly lit room. The walls were adorned with the likeness of the queen (her biological mother), a woman in her thirties with fair skin and a tall, graceful figure. Black hair cascaded down her back, and she wore an elegant silk gown intricately embroidered with floral patterns. A pearl headdress adorned her head, and her gentle gaze was filled with motherly love, enhancing the somber atmosphere around Snow White. Dressed in a light blue silk gown with delicate lace embellishments, her sixteen-year-old self retained the purity of her skin, as white as snow, and a soft blush on her cheeks. Silver high heels completed her appearance, and the contrast of her beauty against the melancholic backdrop added to the overall feeling of desolation."
