Chinese Content,Replaced Content,SD Content,SD Prompt
在遥远的一个国度里，国王和王后站在宏伟的宫殿阳台上，双手合十，仰望天空，神情虔诚。,在遥远的一个国度里，国王和王后（原配）站在宏伟的宫殿阳台上，双手合十，仰望天空，神情虔诚。,,
国王和王后跪在华丽的礼拜堂内，向上苍祈祷，他们的脸上写满了渴望。,国王和王后（原配）跪在华丽的礼拜堂内，向上苍祈祷，他们的脸上写满了渴望。,,
一片星空下，国王和王后站在花园中，闭目祈祷，周围点缀着摇曳的烛光。,一片星空下，国王和王后（原配）站在花园中，闭目祈祷，周围点缀着摇曳的烛光。,,
王后躺在产床上，身旁是一个刚出生的婴儿，婴儿皮肤白皙如雪，双颊红润似苹果，乌黑柔顺的头发轻轻散在襁褓上。,王后（原配）躺在产床上，身旁是一个刚出生的婴儿，婴儿皮肤白皙如雪，双颊红润似苹果，乌黑柔顺的头发轻轻散在襁褓上。,,
国王和王后站在婴儿床旁，脸上洋溢着幸福的笑容，他们低头注视着熟睡中的小公主，周围装饰着华丽的宫殿陈设。,国王和王后（原配）站在婴儿床旁，脸上洋溢着幸福的笑容，他们低头注视着熟睡中的白雪公主（儿童），周围装饰着华丽的宫殿陈设。,,
城堡外，举国欢庆的景象，街道上挂满了彩旗，人们手捧鲜花，脸上带着喜悦的表情，似乎正在为白雪公主的诞生送上祝福。,城堡外，举国欢庆的景象，街道上挂满了彩旗，人们手捧鲜花，脸上带着喜悦的表情，似乎正在为白雪公主（儿童）的诞生送上祝福。,,
白雪公主站在城堡的花园中，周围是各种可爱的小动物，小鹿、小兔子、松鼠和小鸟环绕着她，她手里拿着食物正在喂它们。,白雪公主（成年）站在城堡的花园中，周围是各种可爱的小动物，小鹿、小兔子、松鼠和小鸟环绕着她，她手里拿着食物正在喂它们。,,
白雪公主坐在草地上，微笑着看着周围的动物们，一些小动物似乎正聚精会神地听她讲故事，阳光洒在她和动物们的身上。,白雪公主（成年）坐在草地上，微笑着看着周围的动物们，一些小动物似乎正聚精会神地听她讲故事，阳光洒在她和动物们的身上。,,
白雪公主在花园里快乐地奔跑，身后跟着一群小动物，她的笑容灿烂，显得非常幸福。,白雪公主（成年）在花园里快乐地奔跑，身后跟着一群小动物，她的笑容灿烂，显得非常幸福。,,
白雪公主站在已故母亲的画像前，神情悲伤，周围是昏暗的房间，墙上挂着已故王后的肖像，显得格外凄凉。,白雪公主（成年）站在已故母亲的画像前，神情悲伤，周围是昏暗的房间，墙上挂着王后（原配）的肖像，显得格外凄凉。,,
国王带着一位身着华丽长裙、面容美丽但表情骄傲冷漠的新王后走进大厅，新王后手中捧着一面装饰精美的魔镜，镜面泛着奇异的光芒。,国王带着一位身着华丽长裙、面容美丽但表情骄傲冷漠的新王后走进大厅，新王后手中捧着一面装饰精美的魔镜，镜面泛着奇异的光芒。,,
新王后站在宫殿内，对着魔镜喃喃自语，镜中浮现出模糊的影像，映衬出她那既自负又阴沉的神情。,新王后站在宫殿内，对着魔镜喃喃自语，镜中浮现出模糊的影像，映衬出她那既自负又阴沉的神情。,,
王后站在魔镜前，神情专注地等待着魔镜的回答。,新王后站在魔镜前，神情专注地等待着魔镜的回答。,,
