Chinese Content,Replaced Content,SD Content,SD Prompt,Translated Content
在遥远的一个国度里，国王和王后站在宏伟的宫殿阳台上，双手合十，仰望天空，神情虔诚。,在遥远的一个国度里，国王(character features: 一位中年男子，面容威严，身穿华丽的金色王袍，头戴镶嵌宝石的皇冠，腰间悬挂精致的宝剑，行走时步伐沉稳。)和王后（原配）(character features: 一位约三十岁的女子，皮肤白皙，身材修长，留着黑色长发，穿着优雅的丝绸长裙，裙摆绣有繁复的花纹，头戴珍珠发饰，眼神温柔且充满母爱。)站在宏伟的宫殿阳台上，双手合十，仰望天空，神情虔诚。,"middle aged king with dignified countenance, magnificent golden robes and gem encrusted crown, detailed sword at waist, steady steps, beautiful detailed eyes, strong facial features, long eyelashes, ultra fine painting, sharp focus, realistic photorealistic, HDR lighting, vivid colors,
==BREAK==
(queen first wife), woman about thirty, pale skin slender figure, long black hair, elegant silk gown with intricate patterns, pearl headpieces, gentle eyes filled with maternal love, beautiful detailed lips, delicate face, realistic photorealistic, studio lighting, extreme detail description, professional aesthetic,
==BREAK==
(grand palace balcony background:1.2), hands clasped in prayer, gazing devoutly at sky above, majestic architectural details, marble textures, vibrant sunset sky, (best quality,4k,8k,highres,masterpiece:1.2), ultra detailed, bokeh, physically based rendering, perfect lighting, detailed background,",,"In a distant land, the king, a middle-aged man with a dignified countenance, clad in magnificent golden robes and a gem-encrusted crown, with a精致 sword hanging from his waist, walked with steady steps. Beside him stood the queen, his first wife, a woman of about thirty, with pale skin, a slender figure, and long black hair, wearing an elegant silk gown adorned with intricate patterns and decorated with pearl headpieces, her eyes gentle and filled with maternal love. Together, they stood on the grand balcony of the palace, hands clasped in prayer, gazing devoutly at the sky above."
国王和王后跪在华丽的礼拜堂内，向上苍祈祷，他们的脸上写满了渴望。,国王(character features: 一位中年男子，面容威严，身穿华丽的金色王袍，头戴镶嵌宝石的皇冠，腰间悬挂精致的宝剑，行走时步伐沉稳。)和王后（原配）(character features: 一位约三十岁的女子，皮肤白皙，身材修长，留着黑色长发，穿着优雅的丝绸长裙，裙摆绣有繁复的花纹，头戴珍珠发饰，眼神温柔且充满母爱。)跪在华丽的礼拜堂内，向上苍祈祷，他们的脸上写满了渴望。,"middle aged king with dignified countenance, splendid golden robe, gem encrusted crown, exquisite sword at waist, walking with steady steps, detailed and realistic face, sharp focus, (extremely detailed eyes and face:1.2), beautiful detailed eyes, long eyelashes, vivid colors,
==BREAK==
(queen on right side), woman about thirty years old, fair skin, slender figure, long black hair, elegant silk gown embroidered with intricate patterns, pearl hair decorations, gentle maternal eyes, kneeling posture, praying expression, (beautiful detailed eyes:1.2), detailed and realistic face, sharp focus, long eyelashes, vivid colors,
ornate chapel background, stained glass windows, intricate stone carvings, soft studio lighting, divine light effect, masterpiece ultra detailed 8k image, realistic photorealistic photo realistic style, perfect lighting, HDR tones, bokeh effect, sharp focus, extreme detail description",,"The king, a middle-aged man with a dignified countenance, clad in a splendid golden robe and wearing a gem-encrusted crown upon his head, with an exquisite sword hanging at his waist and walking with steady steps, and the queen, his first wife, a woman of about thirty years old with fair skin, a slender figure, and long black hair, dressed in an elegant silk gown embroidered with intricate patterns, adorned with pearl hair decorations, and possessing eyes that exuded gentleness and maternal love, knelt together inside the ornate chapel. They prayed to the heavens, their faces filled with longing."
一片星空下，国王和王后站在花园中，闭目祈祷，周围点缀着摇曳的烛光。,一片星空下，国王(character features: 一位中年男子，面容威严，身穿华丽的金色王袍，头戴镶嵌宝石的皇冠，腰间悬挂精致的宝剑，行走时步伐沉稳。)和王后（原配）(character features: 一位约三十岁的女子，皮肤白皙，身材修长，留着黑色长发，穿着优雅的丝绸长裙，裙摆绣有繁复的花纹，头戴珍珠发饰，眼神温柔且充满母爱。)站在花园中，闭目祈祷，周围点缀着摇曳的烛光。,"middle aged king with a dignified appearance, splendid golden robe, gem encrusted crown, detailed facial features, beautiful detailed eyes, long eyelashes, realistic skin tones, sharp focus, ultra fine painting, (masterpiece:1.2), (best quality,4k,8k,highres:1.3),
==BREAK==
(queen, first wife, woman in her thirties), fair skin, slender figure, long black hair, silk gown with intricate embroidery, pearl hair ornament, gentle maternal eyes, elegant posture, (realistic,photorealistic:1.37), vivid colors, studio lighting, perfect lighting,
==BREAK==
starry sky background, flickering candlelights, garden setting, eyes closed, offering silent prayers, dynamic composition, HDR, UHD, sharp details, professional, bokeh, physically based rendering, ultra detailed, aesthetic",,"Under the vast starry sky, the king, a middle-aged man with a dignified appearance, clad in a splendid golden robe and wearing a gem-encrusted crown, stood alongside his queen, his first wife. She was a woman of about thirty, with fair skin, a slender figure, and long black hair, dressed elegantly in a silk gown adorned with intricate embroidery. On her head rested a pearl hair ornament, and her eyes exuded gentleness and maternal love. Together, they stood in the garden, eyes closed, offering silent prayers, while flickering candlelights illuminated their surroundings."
王后躺在产床上，身旁是一个刚出生的婴儿，婴儿皮肤白皙如雪，双颊红润似苹果，乌黑柔顺的头发轻轻散在襁褓上。,王后（原配）(character features: 一位约三十岁的女子，皮肤白皙，身材修长，留着黑色长发，穿着优雅的丝绸长裙，裙摆绣有繁复的花纹，头戴珍珠发饰，眼神温柔且充满母爱。)躺在产床上，身旁是一个刚出生的婴儿，婴儿皮肤白皙如雪，双颊红润似苹果，乌黑柔顺的头发轻轻散在襁褓上。,"elegant queen, pale skin, slender figure, long black hair, gentle eyes, maternal love expression, beautiful detailed eyes, beautiful detailed lips, extremely detailed face, long eyelashes, wearing an elegant silk gown with intricate embroidery, adorned with pearl ornaments, lying on a birthing bed, graceful pose, soft lighting, realistic, ultra-detailed, (best quality,4k,8k,highres,masterpiece:1.2), vivid colors, sharp focus, extreme detail description, professional, newborn infant beside her, baby with white skin, rosy cheeks, soft black hair, swaddled in delicate clothes, baby with realistic features, perfect lighting, luxurious bedroom setting, rich textures, HDR, UHD, studio lighting, physically-based rendering",,"The queen, who was the original consort, lay on the birthing bed. She was a woman of about thirty years old, with pale skin, a slender figure, and long black hair. She wore an elegant silk gown, adorned with intricate embroidery on its hem, and her head was decorated with pearl ornaments. Her eyes were gentle and filled with maternal love. Beside her lay a newborn infant, whose skin was as white as snow, cheeks as rosy as apples, and soft black hair gently spread across the swaddling clothes."
国王和王后站在婴儿床旁，脸上洋溢着幸福的笑容，他们低头注视着熟睡中的小公主，周围装饰着华丽的宫殿陈设。,国王(character features: 一位中年男子，面容威严，身穿华丽的金色王袍，头戴镶嵌宝石的皇冠，腰间悬挂精致的宝剑，行走时步伐沉稳。)和王后（原配）(character features: 一位约三十岁的女子，皮肤白皙，身材修长，留着黑色长发，穿着优雅的丝绸长裙，裙摆绣有繁复的花纹，头戴珍珠发饰，眼神温柔且充满母爱。)站在婴儿床旁，脸上洋溢着幸福的笑容，他们低头注视着熟睡中的白雪公主（儿童）(character features: 一位五六岁的小女孩，皮肤如雪般洁白，双颊红润如苹果，头发乌黑柔顺地垂在肩上，身穿淡粉色的棉质连衣裙，脚上是一双白色小皮鞋，眼神天真无邪。)，周围装饰着华丽的宫殿陈设。,"middle aged king with dignified countenance, splendid golden robe, gem encrusted crown, finely crafted sword, steady steps, beautiful detailed eyes, strong facial features, long eyelashes, standing beside queen, woman in her thirties, fair skin, slender figure, long black hair, elegant silk gown, intricate patterns, pearl hair decorations, gentle maternal gaze, beautiful detailed lips, extremely detailed face, all looking down at sleeping Snow White, little girl of five or six, skin white as snow, rosy cheeks, smooth black hair, light pink cotton dress, white leather shoes, innocent expression, luxurious palace setting, rich furnishings, elegant decor, (best quality,4k,8k,highres,masterpiece:1.2), ultra detailed, realistic photorealistic photo realistic, HDR UHD studio lighting sharp focus extreme detail description professional vivid colors bokeh physically based rendering,
==BREAK==
(king, middle aged man, dignified countenance, splendid golden robe, gem encrusted crown, finely crafted sword, steady steps, left side),
==BREAK==
(queen, woman in her thirties, fair skin, slender figure, long black hair, elegant silk gown, intricate patterns, pearl hair decorations, gentle maternal gaze, right side),
==BREAK==
(Snow White, little girl, five or six years old, skin white as snow, rosy cheeks, smooth black hair, light pink cotton dress, white leather shoes, center foreground)",,"The king, a middle-aged man with a dignified countenance, clad in a splendid golden robe and wearing a gem-encrusted crown on his head, with a finely crafted sword hanging from his waist and walking with steady steps, stood beside the queen, his first consort. She was a woman of about thirty, with fair skin, a slender figure, and long black hair, dressed elegantly in a silk gown embroidered with intricate patterns, adorned with pearl hair decorations, and possessing a gaze that exuded gentleness and maternal love. Together, they stood by the crib, their faces beaming with happiness as they looked down at the sleeping Snow White, a little girl of five or six years old, whose skin was as white as snow, cheeks rosy like apples, and smooth black hair falling gracefully over her shoulders. She wore a light pink cotton dress and white leather shoes, her eyes reflecting innocence when open. The surroundings were adorned with luxurious palace furnishings, enhancing the regal ambiance of the scene."
城堡外，举国欢庆的景象，街道上挂满了彩旗，人们手捧鲜花，脸上带着喜悦的表情，似乎正在为白雪公主的诞生送上祝福。,城堡外，举国欢庆的景象，街道上挂满了彩旗，人们手捧鲜花，脸上带着喜悦的表情，似乎正在为白雪公主（儿童）(character features: 一位五六岁的小女孩，皮肤如雪般洁白，双颊红润如苹果，头发乌黑柔顺地垂在肩上，身穿淡粉色的棉质连衣裙，脚上是一双白色小皮鞋，眼神天真无邪。)的诞生送上祝福。,"princess snow white, young girl around five or six years old, skin as white as snow, rosy cheeks like apples, raven black hair flowing smoothly over shoulders, soft pastel pink cotton dress, white little leather shoes, innocent eyes filled with wonder, beautiful detailed eyes, beautiful detailed lips, long eyelashes, extremely detailed face and expression, (standing in center), vibrant outdoor celebration scene, colorful flags fluttering along streets, people holding bouquets of flowers, joyful expressions, offering blessings, dynamic crowd in background, castle backdrop, sunny daylight, perfect lighting, (best quality,4k,8k,highres,masterpiece:1.2), ultra detailed, realistic photorealistic photo-realistic, vivid colors, sharp focus, professional composition, HDR, UHD, studio lighting, extreme detail description",,"Outside the castle, the entire nation was celebrating with vibrant festivities. Colorful flags fluttered along the streets, and people held bouquets of flowers in their hands, their faces beaming with joy. They appeared to be offering blessings for the birth of Princess Snow White, a young girl around five or six years old. Her skin was as white as snow, her cheeks rosy like apples, and her raven-black hair flowed smoothly over her shoulders. She wore a soft pastel pink cotton dress and white little leather shoes, her eyes filled with the innocence of childhood."
白雪公主站在城堡的花园中，周围是各种可爱的小动物，小鹿、小兔子、松鼠和小鸟环绕着她，她手里拿着食物正在喂它们。,白雪公主（成年）(character features: 一位十五六岁的少女，皮肤依旧如雪般洁白，双颊红润，黑色长发披散至腰间，身穿浅蓝色的丝质长裙，裙子上有精致的蕾丝装饰，脚穿银色高跟鞋，神态温柔而端庄。)站在城堡的花园中，周围是各种可爱的小动物，小鹿、小兔子、松鼠和小鸟环绕着她，她手里拿着食物正在喂它们。,"adolescent girl, beautiful detailed eyes, beautiful detailed lips, extremely detailed face, long eyelashes, skin as white as snow, rosy cheeks, long black hair cascading to waist, light blue silk dress with delicate lace, silver high heels, gentle and dignified demeanor, (holding food in hands), surrounded by adorable animals, fawns, rabbits, squirrels, birds, tenderly feeding creatures, (garden of the castle background:1.3), lush greenery, vibrant flowers, soft sunlight, dynamic composition, (best quality,4k,8k,highres,masterpiece:1.2), ultra-detailed, realistic, photorealistic, vivid colors, sharp focus, perfect lighting, professional, detailed background, HDR, UHD, physically-based rendering",,"In the garden of the castle, an adolescent girl named Snow White, aged around fifteen or sixteen, stood gracefully. Her skin remained as white as snow, her cheeks flushed with a rosy hue, and her long black hair cascaded down to her waist. She wore a light blue silk dress adorned with delicate lace, and on her feet were silver high heels. Her demeanor was gentle and dignified. Around her, various adorable little animals had gathered—fawns, rabbits, squirrels, and birds. Snow White held food in her hands and was tenderly feeding the creatures that surrounded her."
白雪公主坐在草地上，微笑着看着周围的动物们，一些小动物似乎正聚精会神地听她讲故事，阳光洒在她和动物们的身上。,白雪公主（成年）(character features: 一位十五六岁的少女，皮肤依旧如雪般洁白，双颊红润，黑色长发披散至腰间，身穿浅蓝色的丝质长裙，裙子上有精致的蕾丝装饰，脚穿银色高跟鞋，神态温柔而端庄。)坐在草地上，微笑着看着周围的动物们，一些小动物似乎正聚精会神地听她讲故事，阳光洒在她和动物们的身上。,"Snow White, adult version, girl about fifteen or sixteen years old, skin as white as snow, rosy cheeks, long black hair cascading down to waist, gentle and dignified demeanor, beautiful detailed eyes, beautiful detailed lips, extremely detailed face, long eyelashes, wearing light blue silk dress with delicate lace patterns, silver high heels shimmering in sunlight, seated gracefully on soft grass in sunlit meadow, golden rays of sun creating radiant glow, group of small animals gathered around her, animals attentively watching Snow White, warm smile, narrating a story, (masterpiece:1.4, best quality), ultra detailed, realistic, photorealistic, vivid colors, perfect lighting, sharp focus, physically based rendering, HDR, UHD, studio lighting, dynamic composition, enchanting atmosphere",,"In the midst of a sunlit meadow, Snow White (an adult) was seated gracefully on the soft grass. She was a girl of about fifteen or sixteen years old, with skin as white as snow, rosy cheeks, and long black hair that cascaded down to her waist. She wore a light blue silk dress adorned with delicate lace patterns, and her silver high heels shimmered faintly in the sunlight. Her demeanor was gentle and dignified. Around her, a group of small animals had gathered, their eyes fixed attentively on her as she smiled warmly and narrated a story to them. The golden rays of the sun bathed both Snow White and the animals in a radiant glow."
白雪公主在花园里快乐地奔跑，身后跟着一群小动物，她的笑容灿烂，显得非常幸福。,白雪公主（成年）(character features: 一位十五六岁的少女，皮肤依旧如雪般洁白，双颊红润，黑色长发披散至腰间，身穿浅蓝色的丝质长裙，裙子上有精致的蕾丝装饰，脚穿银色高跟鞋，神态温柔而端庄。)在花园里快乐地奔跑，身后跟着一群小动物，她的笑容灿烂，显得非常幸福。,"adult Snow White, fifteen or sixteen year old girl, skin as white as snow, rosy cheeks, black hair flowing down to waist, light blue silk dress with delicate lace, silver high heels, gentle and dignified demeanor, beautiful detailed eyes, beautiful detailed lips, extremely detailed face, long eyelashes, bright smile revealing immense happiness, running happily in a garden, (group of small animals following cheerfully behind:1.2), vibrant flowers and lush greenery surrounding, sunny weather, soft natural lighting, (masterpiece:1.4, best quality), ultra detailed, realistic, vivid colors, sharp focus, extreme detail description, professional, HDR, UHD, studio lighting, ultra fine painting, 8k resolution  
==BREAK==",,"In the garden, Snow White (adult), a fifteen or sixteen-year-old girl with skin as white as snow, rosy cheeks, and black hair flowing down to her waist, was happily running about in a light blue silk dress adorned with delicate lace and wearing silver high heels, her demeanor gentle and dignified. Behind her, a group of small animals followed cheerfully, and her bright smile revealed immense happiness."
白雪公主站在已故母亲的画像前，神情悲伤，周围是昏暗的房间，墙上挂着已故王后的肖像，显得格外凄凉。,白雪公主（成年）(character features: 一位十五六岁的少女，皮肤依旧如雪般洁白，双颊红润，黑色长发披散至腰间，身穿浅蓝色的丝质长裙，裙子上有精致的蕾丝装饰，脚穿银色高跟鞋，神态温柔而端庄。)站在已故母亲的画像前，神情悲伤，周围是昏暗的房间，墙上挂着王后（原配）(character features: 一位约三十岁的女子，皮肤白皙，身材修长，留着黑色长发，穿着优雅的丝绸长裙，裙摆绣有繁复的花纹，头戴珍珠发饰，眼神温柔且充满母爱。)的肖像，显得格外凄凉。,"young woman, porcelain skin, rosy cheeks, long black hair to waist, light blue silk gown with intricate lace, silver high heels, gentle and graceful demeanor, somber expression, beautiful detailed eyes, beautiful detailed lips, extremely detailed face, long eyelashes, standing before portrait, dimly lit room, elegant woman in thirties, flowing black hair, opulent silk dress with elaborate patterns, pearl adorned headpiece, soft maternal eyes, pale complexion, contrasting emotions, melancholic atmosphere, (masterpiece:1.2, best quality), ultra-detailed, realistic photorealistic, HDR lighting, sharp focus, vivid colors, detailed background, professional studio lighting, 8k highres,
==BREAK==
(young woman, fifteen or sixteen years old, wearing light blue silk gown, standing left side),
==BREAK==
(elegant woman, biological mother, painted portrait, hanging on wall, right side)",,"In a dimly lit room, Snow White, now a young woman of fifteen or sixteen, stood before the portrait of her late mother. Her porcelain skin remained as white as snow, her cheeks rosy, and her long black hair cascaded down to her waist. She wore a light blue silk gown adorned with intricate lace, paired with silver high heels, her demeanor radiating gentleness and grace. The somber expression on her face mirrored the melancholy of the scene, where the walls bore the likeness of the Queen, her biological mother. The elegant woman in her thirties gazed from the painting, her pale complexion framed by flowing black tresses, an opulent silk dress embroidered with elaborate patterns hugging her slender figure. A pearl-adorned headpiece rested upon her brow, her eyes soft and filled with maternal love, contrasting sharply with the gloom that enveloped the room."
